tran_id,TRAN_DATE,user_id,ProdId,amt
YSUMR,2017-11-30,1370,14,62941.65604881545
XNTNM,2016-09-03,1313,5,47063.231844703645
RSPLM,2017-01-31,192,2,63.10349317231179
ZUZLY,2017-03-28,1424,15,16700.312529904248
CTAGE,2017-09-04,572,14,100555.39723895257
UPCJC,2016-10-29,430,4,58787.869164304655
AUGXB,2017-02-11,660,9,56262.19355589883
TKUZH,2017-07-18,552,2,195934.18582650632
HWEBJ,2016-12-21,593,6,9294.019569472934
FCDPF,2017-01-19,653,10,163523.34510537784
DHUXG,2016-09-17,857,1,111188.3978687882
DVYNH,2017-04-14,385,11,65706.63422507478
TFIXJ,2017-05-19,105,14,106085.83159830076
NNSKB,2017-04-02,1148,6,15787.893282932086
ANBPT,2017-03-01,127,4,156237.90026057954
XGZSD,2017-07-04,1253,14,196634.5875162723
YKQAK,2017-03-27,1417,12,23247.761953445668
QFYNI,2017-10-28,79,5,162481.85764822274
QMLJA,2017-09-11,99,6,162385.41203238812
ZGQQQ,2017-06-13,413,3,84461.97084725673
ALZMJ,2017-06-23,890,14,62473.92579262181
CUMXO,2016-08-23,954,12,137427.01833270025
OQMVT,2017-01-25,1418,7,60221.041328488776
CHBBY,2017-08-30,416,7,111984.37166163772
JXXDZ,2017-01-02,701,3,133126.96826035748
ICZXS,2017-04-14,1290,6,199967.60923522938
UINAH,2017-12-09,580,5,156872.65536791424
DNFUN,2017-09-01,1054,6,195920.918125267
JRNQQ,2017-12-04,220,14,26225.04081996724
MNRSM,2017-06-19,962,6,36876.849758826924
JZLZJ,2016-11-11,92,6,102136.08657562776
ZMZPL,2017-12-13,95,15,75238.48857565165
HSRET,2016-12-19,1049,15,192994.28910435305
JFTHL,2017-05-18,971,9,136486.94554595463
KEZNY,2017-04-09,661,2,120687.54934902834
XLQPN,2017-03-28,1012,5,118748.1074732676
SUPFI,2017-11-23,453,5,149215.49064640581
PQQRF,2016-10-23,1266,11,46323.4159240153
EDNSQ,2017-03-29,283,14,74558.83503873782
HMZFG,2016-10-06,1266,12,112176.31121436773
HPLVE,2016-10-12,279,15,14027.141381839736
EHXAE,2017-05-29,999,10,98757.4141639171
HDYSB,2017-10-10,1395,7,116544.06361801153
SERKC,2016-10-07,909,10,52375.01594145881
IEPYV,2017-10-20,1495,5,906.1036924997268
QZZDN,2017-03-22,1379,8,61777.56388011115
OXMDZ,2017-06-16,732,3,33273.5472648888
DSDED,2017-03-30,1461,16,25492.31642748313
EQRVU,2017-07-08,848,7,72985.57111950885
PEFEN,2017-11-04,676,6,81844.74966234325
FIOWG,2017-08-18,804,8,123809.8862624632
SVZRX,2017-11-11,691,15,2924.8581214234905
MPHXW,2017-05-22,394,6,91850.01209726193
JIIIA,2017-05-19,409,16,75610.43511104395
UYSNA,2017-09-01,433,6,46334.76788515123
ZOPOR,2017-11-15,264,1,34884.35914788721
EZIIQ,2017-04-15,933,2,102627.74167909555
YCALQ,2017-09-16,648,14,31101.360173618552
VPJFV,2017-02-13,1461,13,27826.807982029433
TUWJB,2016-07-21,436,4,160163.60284402367
EGPJK,2017-11-19,451,3,81956.99693745183
VHYJO,2017-08-06,123,4,196006.19564273875
MCQPX,2016-07-28,1269,12,56628.66817116106
VMMOF,2016-08-13,318,9,116440.67844166997
USNBW,2017-05-06,1355,5,137729.14050022734
BOFIY,2016-12-23,409,13,115336.46877674868
XXRGW,2017-04-20,725,6,193663.25971609817
LUFPU,2016-07-12,405,15,173959.29547961656
EIFFY,2016-07-26,1139,11,30456.01100179327
KAUDE,2016-08-30,78,5,130138.21660250428
PTVBK,2017-01-16,592,11,42828.68367997252
HESZJ,2017-05-28,1407,12,108701.22726494378
ASVTQ,2017-01-02,617,5,175566.08214756259
YTWYQ,2016-07-07,45,12,16279.276643552153
KMSJU,2017-12-02,1095,6,152344.6755403742
YHXXO,2016-10-28,321,11,190354.48314730602
EJRZU,2017-07-08,1328,1,115604.29892127542
UKJRU,2017-10-08,1121,8,95967.5400341335
VDKVV,2017-06-04,1457,5,86637.9449611997
LYSRW,2017-08-28,1148,3,21724.45096000042
IKCOU,2016-10-07,819,1,9788.029127214992
PJZZD,2017-12-28,193,12,120378.50355874622
